# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 17.0.0 Build 595 04/25/2017 SJ Lite Edition
# File: C:\Users\Reishi Mitani\Documents\MAX10FT600CIS3\output_files\CIRS.csv
# Generated on: Fri Oct 23 18:09:01 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
ADBUSY0,Input,PIN_38,3,B3_N0,PIN_38,2.5 V,,,,,
ADBUSY1,Input,,,,PIN_135,,,,,,
ADCNVST0,Output,PIN_32,2,B2_N0,PIN_32,2.5 V,,,,,
ADCNVST1,Output,PIN_53,3,B3_N0,PIN_53,2.5 V,,,,,
ADCS0,Output,PIN_33,2,B2_N0,PIN_33,2.5 V,,,,,
ADCS1,Output,PIN_58,4,B4_N0,PIN_58,2.5 V,,,,,
ADPD0,Output,PIN_29,2,B2_N0,PIN_29,2.5 V,,,,,
ADPD1,Output,PIN_44,3,B3_N0,PIN_44,2.5 V,,,,,
ADRESET0,Output,PIN_30,2,B2_N0,PIN_30,2.5 V,,,,,
ADRESET1,Output,PIN_55,3,B3_N0,PIN_55,2.5 V,,,,,
ADSCLK0,Bidir,,,,PIN_63,,,,,,
ADSCLK1,Bidir,,,,PIN_60,,,,,,
ADSDIN0,Bidir,,,,PIN_14,,,,,,
ADSDIN1,Bidir,,,,PIN_125,,,,,,
ADSDOUT0,Input,,,,PIN_116,,,,,,
ADSDOUT1,Input,,,,PIN_52,,,,,,
ADSYNC0,Input,PIN_46,3,B3_N0,PIN_46,2.5 V,,,,,
ADSYNC1,Input,PIN_66,4,B4_N0,PIN_66,2.5 V,,,,,
BE0,Bidir,PIN_89,6,B6_N0,PIN_89,2.5 V,,,,,
BE1,Bidir,PIN_88,6,B6_N0,PIN_88,2.5 V,,,,,
CCLK,Output,PIN_70,4,B4_N0,PIN_70,2.5 V,,,,,
CLK,Input,PIN_96,6,B6_N0,PIN_96,2.5 V,,,,,
CLK1,Input,PIN_119,7,B7_N0,PIN_119,2.5 V,,,,,
COE,Output,PIN_69,4,B4_N0,PIN_69,2.5 V,,,,,
CRXF,Output,PIN_99,6,B6_N0,PIN_99,2.5 V,,,,,
CTXE,Output,PIN_93,6,B6_N0,PIN_93,2.5 V,,,,,
CWR,Output,PIN_92,6,B6_N0,PIN_92,2.5 V,,,,,
DMONITOR[7],Output,PIN_80,5,B5_N0,PIN_80,2.5 V,,,,,
DMONITOR[6],Output,PIN_81,5,B5_N0,PIN_81,2.5 V,,,,,
DMONITOR[5],Output,PIN_82,5,B5_N0,PIN_82,2.5 V,,,,,
DMONITOR[4],Output,PIN_83,5,B5_N0,PIN_83,2.5 V,,,,,
DMONITOR[3],Output,PIN_84,5,B5_N0,PIN_84,2.5 V,,,,,
DMONITOR[2],Output,PIN_85,5,B5_N0,PIN_85,2.5 V,,,,,
DMONITOR[1],Output,PIN_86,5,B5_N0,PIN_86,2.5 V,,,,,
DMONITOR[0],Output,PIN_87,5,B5_N0,PIN_87,2.5 V,,,,,
FT600OE,Output,PIN_98,6,B6_N0,PIN_98,2.5 V,,,,,
RD,Output,PIN_101,6,B6_N0,PIN_101,2.5 V,,,,,
RESAD0,Output,PIN_40,3,B3_N0,PIN_40,2.5 V,,,,,
RESAD1,Output,,,,PIN_49,,,,,,
